day,region_1,region_2,region_3,region_4,region_5,region_6,region_7,region_8
1,-5.4944854980 ,2.6294401180 ,4.1784848620 ,11.2105270500 ,4.2979028060 ,2.4870192060 ,4.2155760690 ,5.6450871340 
2,-5.7893855830 ,1.6585114690 ,3.2533024510 ,7.9486593780 ,4.1075068870 ,4.2763305380 ,-1.8112505900 ,4.5551994480 
3,-5.1947421170 ,0.7975946130 ,2.5506210890 ,5.9676969440 ,4.2755352760 ,4.8214543120 ,-2.4335628190 ,4.6433906980 
4,-2.7273753850 ,0.1682815320 ,2.3163629880 ,6.6833771130 ,5.1981411570 ,2.7472358540 ,8.3220500670 ,7.2117481280 
5,-3.6757259610 ,0.1268532140 ,2.5276864100 ,6.5777387620 ,4.9261139980 ,1.1729029550 ,5.5176336840 ,6.7043356320 
6,-6.5117097860 ,0.4103085800 ,2.9852522520 ,6.0182138630 ,3.9938948960 ,-0.1251774000 ,-4.7804830840 ,4.4971555460 
7,-7.0644721170 ,0.2350459200 ,3.5494082440 ,8.5997143070 ,3.4239945420 ,0.0969245450 ,-1.2132741290 ,5.4878660360 
8,-5.8321753000 ,0.1196986510 ,3.6902549950 ,8.4598017920 ,3.0332511220 ,0.3388812290 ,0.1666914620 ,5.1612772020 
9,-0.3876586740 ,0.1921426730 ,2.7760389040 ,1.3241114090 ,3.0537222830 ,0.4981102850 ,-5.0590684120 ,1.3029676350 
10,3.4208059670 ,0.0159838910 ,3.0332113370 ,-2.3107402620 ,-0.8132548720 ,0.0628411450 ,-0.4713687810 ,-1.1136333820 
11,6.1840151730 ,-0.3190044600 ,4.0387708850 ,-3.7089449780 ,-7.1638795620 ,-0.7522462870 ,10.3860410900 ,-2.6091428260 
12,5.6247310110 ,-0.2371380680 ,2.7293473750 ,-0.6982704170 ,-8.9949642220 ,-1.9005037570 ,0.0725862310 ,-0.8715062360 
13,5.1482561400 ,-0.0171843940 ,1.8864889520 ,1.8872948190 ,-9.7115834580 ,-2.3927369990 ,-7.0686384910 ,0.3249655130 
